county_name,latitude,longitude,average_yield
Yakima,46.21875,-119.34375,15263.03017
Okanogan,48.96875,-119.65625,14139.642733157894
Okanogan,48.15625,-119.71875,14092.232729473684
Yakima,46.15625,-119.96875,13536.884612105263
WallaWalla,46.28125,-118.65625,12482.99023368421
WallaWalla,46.03125,-118.21875,9981.875540157895
