county_name,crop_name,year,annual_irrigation_demand
WallaWalla,Winter_Wheat,1984,591.3240969999999
WallaWalla,Winter_Wheat,1985,816
WallaWalla,Winter_Wheat,1986,808
WallaWalla,Winter_Wheat,1987,764
WallaWalla,Winter_Wheat,1988,733.333954
WallaWalla,Winter_Wheat,1989,728
WallaWalla,Winter_Wheat,1990,781.7334900000001
WallaWalla,Winter_Wheat,1991,724
WallaWalla,Winter_Wheat,1992,724
WallaWalla,Winter_Wheat,1993,615.2463379999999
WallaWalla,Winter_Wheat,1994,756
WallaWalla,Winter_Wheat,1995,526.035614
WallaWalla,Winter_Wheat,1996,623.76358
WallaWalla,Winter_Wheat,1997,731.266815
WallaWalla,Winter_Wheat,1998,656
WallaWalla,Winter_Wheat,1999,797.1659549999999
WallaWalla,Winter_Wheat,2000,699.923859
WallaWalla,Winter_Wheat,2001,811.725983
WallaWalla,Winter_Wheat,2002,788
WallaWalla,Winter_Wheat,2003,677.189453
WallaWalla,Winter_Wheat,2004,666.4172060000001
WallaWalla,Winter_Wheat,2005,785.424927
WallaWalla,Winter_Wheat,2006,670.410522
WallaWalla,Winter_Wheat,2007,854.367859
WallaWalla,Winter_Wheat,2008,816
WallaWalla,Winter_Wheat,2009,728
WallaWalla,Winter_Wheat,2010,745.521027
WallaWalla,Winter_Wheat,2011,647.967987
WallaWalla,Winter_Wheat,2012,620
WallaWalla,Winter_Wheat,2013,660
WallaWalla,Winter_Wheat,2014,848
WallaWalla,Winter_Wheat,2015,699.084137
WallaWalla,Winter_Wheat,2016,730.040009
WallaWalla,Winter_Wheat,2017,672
WallaWalla,Winter_Wheat,2018,816
WallaWalla,Winter_Wheat,2019,737.201996
Yakima,Corn_grain,1980,1080
Yakima,Corn_grain,1981,1080
Yakima,Corn_grain,1982,1046.892029
Yakima,Corn_grain,1983,1096.9014889999999
Yakima,Corn_grain,1984,1020
Yakima,Corn_grain,1985,1020
Yakima,Corn_grain,1986,1120
Yakima,Corn_grain,1987,1090
Yakima,Corn_grain,1988,1140
Yakima,Corn_grain,1989,1150
Yakima,Corn_grain,1990,910
Yakima,Corn_grain,1991,1120
Yakima,Corn_grain,1992,999.835358
Yakima,Corn_grain,1993,1188.5410769999999
Yakima,Corn_grain,1994,1090
Yakima,Corn_grain,1995,1040
Yakima,Corn_grain,1996,1030
Yakima,Corn_grain,1997,999.044891
Yakima,Corn_grain,1998,948.5185240000001
Yakima,Corn_grain,1999,1090
Yakima,Corn_grain,2000,1160
Yakima,Corn_grain,2001,1110
Yakima,Corn_grain,2002,1119.4770509999998
Yakima,Corn_grain,2003,1010
Yakima,Corn_grain,2004,949.93631
Yakima,Corn_grain,2005,1120
Yakima,Corn_grain,2006,1070
Yakima,Corn_grain,2007,1030
Yakima,Corn_grain,2008,1130
Yakima,Corn_grain,2009,1090
Yakima,Corn_grain,2010,1020
Yakima,Corn_grain,2011,1110
Yakima,Corn_grain,2012,1039.971924
Yakima,Corn_grain,2013,948.79718
Yakima,Corn_grain,2014,950
Yakima,Corn_grain,2015,1010
Yakima,Corn_grain,2016,1080
Yakima,Corn_grain,2017,1010
Yakima,Corn_grain,2018,1180
Yakima,Corn_grain,2019,1039.4201659999999
Yakima,Winter_Wheat,1981,1100
Yakima,Winter_Wheat,1982,1160
Yakima,Winter_Wheat,1983,1140
Yakima,Winter_Wheat,1984,1100
Yakima,Winter_Wheat,1985,1180
Yakima,Winter_Wheat,1986,1180
Yakima,Winter_Wheat,1987,1120
Yakima,Winter_Wheat,1988,1080
Yakima,Winter_Wheat,1989,1140
Yakima,Winter_Wheat,1990,1100
Yakima,Winter_Wheat,1991,1200
Yakima,Winter_Wheat,1992,1100
Yakima,Winter_Wheat,1993,1140
Yakima,Winter_Wheat,1994,1140
Yakima,Winter_Wheat,1995,980
Yakima,Winter_Wheat,1996,1080
Yakima,Winter_Wheat,1997,1100
Yakima,Winter_Wheat,1998,1020
Yakima,Winter_Wheat,1999,1240
Yakima,Winter_Wheat,2000,1160
Yakima,Winter_Wheat,2001,1220
Yakima,Winter_Wheat,2002,1140
Yakima,Winter_Wheat,2003,1080
Yakima,Winter_Wheat,2004,1060
Yakima,Winter_Wheat,2005,1120
Yakima,Winter_Wheat,2006,1040
Yakima,Winter_Wheat,2007,1180
Yakima,Winter_Wheat,2008,1160
Yakima,Winter_Wheat,2009,1100
Yakima,Winter_Wheat,2010,1060
Yakima,Winter_Wheat,2011,1140
Yakima,Winter_Wheat,2012,1120
Yakima,Winter_Wheat,2013,1060
Yakima,Winter_Wheat,2014,1220
Yakima,Winter_Wheat,2015,1120
Yakima,Winter_Wheat,2016,1140
Yakima,Winter_Wheat,2017,1060
Yakima,Winter_Wheat,2018,1200
Yakima,Winter_Wheat,2019,1140
